"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STIP1",0,0.28335248645988,0.331,0.172,0,"0","STIP1"
"ATP1B1",0,0.278680493608785,0.281,0.146,0,"0","ATP1B1"
"CHD1",0,0.27493346197545,0.324,0.175,0,"0","CHD1"
"RPS12",0,0.271083029985373,0.987,0.964,0,"0","RPS12"
"RPL29",0,0.261860285929334,0.974,0.947,0,"0","RPL29"
"RPS20",0,0.261133009652805,0.952,0.913,0,"0","RPS20"
"RPS15A",0,0.259791835348068,0.994,0.974,0,"0","RPS15A"
"RHOBTB3",0,0.257039010486406,0.302,0.155,0,"0","RHOBTB3"
"RPS2",0,0.253448255893673,1,0.998,0,"0","RPS2"
"HNRNPA2B1",1.23517506614395e-306,0.33434283554433,0.769,0.691,2.33670419013112e-302,"0","HNRNPA2B1"
"RPS16",4.37262134392365e-305,0.261099725846948,0.964,0.929,8.27212505843477e-301,"0","RPS16"
"HSP90AA1",9.48612815887199e-303,0.266081231766246,0.987,0.919,1.7945857250954e-298,"0","HSP90AA1"
"RBMX",2.48403904155395e-295,0.336837744249196,0.537,0.397,4.69930505881176e-291,"0","RBMX"
"RTN4",2.16182759236154e-293,0.357034642469642,0.479,0.344,4.08974543922956e-289,"0","RTN4"
